player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
421,2018,1,23,Aaron Holiday,JR,G,California-Los Angeles,Pac-12,33,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,56,21,12,6.9,1.3,8.1,88,0,73,187
422,2018,1,25,Moritz Wagner,JR,C,Michigan,Big 10,39,27.6,5.5,10.5,3.9,6.4,1.6,4.1,1.9,2.8,1.5,5.7,7.1,0.8,1,0.5,1.4,3.1,14.6,12,33,8,6.5,8.5,15.1,0,1,83,240
423,2018,1,26,Landry Shamet,JR,G,Wichita State,AAC,32,31.7,4.8,9.8,2.2,3.9,2.6,5.9,2.7,3.2,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,15,25,8,10.4,3.8,14.2,0,1,77,189
424,2018,1,27,Robert Williams III,SO,C,Texas A&M,SEC,30,25.6,4.6,7.3,4.6,6.9,0,0.4,1.1,2.3,2.4,6.9,9.2,1.4,0.8,2.6,1.7,2.2,10.4,32,22,13,4.1,6.7,10.8,50,0,82,237
425,2018,1,28,Jacob Evans,JR,F,Cincinnati,AAC,36,30.8,4.5,10.5,2.8,6,1.7,4.5,2.4,3.2,1.4,3.3,4.7,3.1,1.3,1,1.8,2,13,5,31,5,6.3,12.2,18.5,0,1,78,200
426,2018,1,30,Omari Spellman,FR,F,Villanova,Big East,40,28.1,4,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8,0.8,0.7,1.5,1,2.3,10.9,1,36,4,15.5,7.3,22.8,18,0,81,255
427,2018,2,32,Jevon Carter,SR,G,West Virginia,Big 12,37,35.5,5.8,13.8,3.7,8.5,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3,0.4,2.6,3,17.3,9,26,11,9.4,6.4,15.8,0,1,74,200
428,2018,2,33,Jalen Brunson,JR,G,Villanova,Big East,40,31.8,6.8,13,4.6,7.7,2.2,5.3,3.3,4.1,0.3,2.8,3.1,4.6,0.9,0,1.8,2,18.9,1,36,4,15.5,7.3,22.8,16,0,74,198
429,2018,2,34,Devonte' Graham,SR,G,Kansas,Big 12,39,37.8,5.1,12.8,2.3,5.8,2.8,6.9,4.3,5.2,0.6,3.4,4,7.2,1.6,0.1,2.8,1.4,17.3,7,31,8,11.2,5.2,16.5,0,1,74,186
430,2018,2,35,Melvin Frazier Jr.,JR,F,Tulane,AAC,30,34.4,6,10.7,4.8,7.7,1.2,3,2.8,3.9,1.2,4.4,5.6,2.9,2.2,0.7,2.6,2,15.9,170,14,17,0.7,-0.7,0,0,1,78,201
431,2018,2,37,Gary Trent Jr.,FR,G,Duke,ACC,37,33.9,4.8,11.5,2.2,5,2.6,6.5,2.3,2.6,0.8,3.4,4.2,1.4,1.2,0.1,1,1.7,14.5,3,29,8,12.4,7.5,19.8,8,0,78,209
432,2018,2,38,Khyri Thomas,JR,G,Creighton,Big East,33,31.7,5.6,10.4,3.7,5.8,1.9,4.6,2,2.6,1.1,3.3,4.4,2.8,1.7,0.2,1.8,1.9,15.1,24,21,12,8.1,4.1,12.2,0,1,75,199
433,2018,2,41,Jarred Vanderbilt,FR,F,Kentucky,SEC,14,17,2.1,4.9,2.1,4.8,0,0.1,1.7,2.7,3.3,4.6,7.9,1,0.4,0.8,1.1,2.6,5.9,19,26,11,7,5.9,12.9,19,0,81,214
434,2018,2,42,Bruce Brown,SO,G,Miami (FL),ACC,19,33.7,4.1,9.9,3.3,6.7,0.8,3.2,2.3,3.7,1.3,5.8,7.1,4,1.3,0.8,2.3,2.3,11.4,35,22,10,4.9,5.7,10.6,26,0,77,194
435,2018,2,43,Justin Jackson,SO,F,Maryland,Big 10,11,29.2,3.4,9.2,2.5,5.5,0.9,3.6,2.2,2.6,2.5,5.6,8.1,1.9,0.8,0.8,2.9,1.4,9.8,39,19,13,5.7,4.5,10.2,0,1,79,229
436,2018,2,45,Hamidou Diallo,FR,G,Kentucky,SEC,37,24.8,3.6,8.5,2.9,6.4,0.7,2.1,2.1,3.4,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10,19,26,11,7,5.9,12.9,0,1,78,195
437,2018,2,46,De'Anthony Melton,SO,G,Southern California,Pac-12,36,27,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3,1.4,3.3,4.7,3.5,1.9,1,1.8,2.3,8.3,51,24,12,6.3,2.6,8.9,0,1,75,190
438,2018,2,47,Svi Mykhailiuk,SR,F,Kansas,Big 12,39,34.5,5.3,12.1,2.3,5.5,2.9,6.6,1.2,1.4,1.1,2.8,3.9,2.7,1.2,0.3,1.7,2.5,14.6,7,31,8,11.2,5.2,16.5,0,1,80,212
439,2018,2,48,Keita Bates-Diop,SR,F,Ohio State,Big 10,34,33.1,7.3,15.1,5.3,9.7,1.9,5.4,3.3,4.1,1.5,7.2,8.7,1.6,0.9,1.6,1.8,1.7,19.8,17,25,9,7.3,6.6,13.8,22,0,81,224
440,2018,2,49,Chimezie Metu,JR,C,Southern California,Pac-12,34,31,6,11.5,5.7,10.4,0.4,1.2,3.3,4.5,1.9,5.6,7.4,1.6,0.8,1.7,2,2.6,15.7,51,24,12,6.3,2.6,8.9,40,0,82,225
441,2018,2,50,Alize Johnson,SO,F,Missouri State,MVC,33,31.2,5.2,12.1,4,7.7,1.2,4.4,3.3,4.4,3.2,8.5,11.6,2.8,0.5,0.4,2.2,2.1,15,118,18,15,1.7,1.3,3,0,1,80,217
442,2018,2,51,Tony Carr,SO,G,Penn State,Big 10,37,35.4,6.6,16.2,4.2,10.7,2.4,5.5,4,5,0.9,4.1,4.9,5,0.8,0.3,2.3,1.8,19.6,20,26,13,5.5,7.2,12.6,42,0,76,199
443,2018,2,52,Vincent Edwards,SR,F,Purdue,Big 10,35,31.6,5.1,10.8,3.7,7.1,1.5,3.7,2.9,3.4,2,5.4,7.4,2.9,0.5,0.6,2,1.8,14.6,4,30,7,12,7,19,89,0,80,225
444,2018,2,53,Devon Hall,SR,G,Virginia,ACC,34,32.1,3.9,8.6,2.2,4.7,1.7,3.9,2.2,2.5,0.4,3.9,4.2,3.1,0.9,0.1,1,1.4,11.7,2,31,3,7,13.2,20.2,0,1,78,206
445,2018,2,54,Shake Milton,JR,G,Southern Methodist,AAC,22,36.4,5.6,12.5,3,6.6,2.5,5.9,4.3,5,0.6,4,4.7,4.4,1.4,0.6,2.3,1.7,18,71,17,16,4,2.9,6.9,79,0,78,205
446,2018,2,56,Ray Spalding,JR,F,Louisville,ACC,36,27.6,5.1,9.4,4.9,8.8,0.1,0.5,2,3.2,3.1,5.5,8.7,1.3,1.5,1.7,1.7,3,12.3,34,22,14,4.9,5.7,10.6,57,0,82,215
447,2018,2,57,Kevin Hervey,SR,F,Texas-Arlington,Sun Belt,33,32.2,7.4,16.5,5,9.6,2.3,6.9,3.4,4.2,2.3,6.2,8.5,2.2,1.2,0.6,2.7,1.8,20.5,121,21,13,0.3,2.4,2.7,0,1,80,230
448,2018,2,58,Thomas Welsh,SR,C,California-Los Angeles,Pac-12,33,33.2,4.9,10.1,3.5,6.7,1.4,3.4,1.5,1.8,2.6,8.2,10.8,1.4,0.7,0.9,1,2.4,12.6,56,21,12,6.9,1.3,8.1,36,0,84,255
449,2018,2,59,George King,SR,F,Colorado,Pac-12,32,28.5,4.4,10,2.5,5.1,1.9,4.9,2.1,2.7,1.8,6.1,7.8,1.1,0.5,0.7,2,2.4,12.9,146,17,15,-1.2,2.4,1.2,0,1,78,220
450,2018,2,60,Kostas Antetokounmpo,FR,F,Dayton,A-10,29,15.1,2,3.5,1.9,3,0.1,0.5,1.1,2.2,0.8,2,2.9,0.4,0.2,1.1,1.3,2.3,5.2,163,14,17,2.2,-2.1,0.2,0,1,82,195
